"id","category","v3_passed","base_passed","v3_latency","base_latency","preferred","flipped","fired","score"
"code-01","code-edit","True","True","580","2100","default","False","","2"
"code-02","code-edit","True","False","620","2300","code","False","code-edit","7"
"code-03","code-edit","True","False","410","1900","default","False","","2"
"code-04","code-edit","True","False","540","2050","code","False","code-edit","7"
"code-05","code-edit","True","True","700","2500","default","False","","2"
"code-06","code-edit","True","False","480","1950","code","False","code-edit","7"
"code-07","code-edit","True","True","720","2700","code","False","code-edit","7"
"code-08","code-edit","True","True","510","2150","default","False","","2"
"code-09","code-edit","True","False","600","2200","code","False","code-edit","7"
"code-10","code-edit","True","True","650","2400","default","False","","2"
"code-11","code-edit","True","True","470","2000","code","False","code-edit","7"
"code-12","code-edit","True","False","530","2100","default","False","","2"
"code-13","code-edit","True","False","580","2200","code","False","code-edit","7"
"code-14","code-edit","True","True","700","2500","code","False","code-edit","7"
"code-15","code-edit","True","False","550","2300","code","False","code-edit","7"
"reason-01","reasoning","True","True","180","1500","default","False","","2"
"reason-02","reasoning","True","True","200","1400","default","False","","2"
"reason-03","reasoning","True","True","220","1600","fast","False","short","7"
"reason-04","reasoning","True","False","240","1700","default","False","","2"
"reason-05","reasoning","True","True","230","1550","fast","False","short","7"
"reason-06","reasoning","False","True","210","1450","default","False","","2"
"reason-07","reasoning","True","True","260","1800","fast","False","short","7"
"reason-08","reasoning","False","True","150","1300","fast","False","short","7"
"reason-09","reasoning","False","True","160","1350","fast","False","short","7"
"reason-10","reasoning","True","True","250","1700","default","False","","2"
"reason-11","reasoning","True","False","230","1500","fast","False","short","7"
"reason-12","reasoning","True","True","200","1400","fast","False","short","7"
"reason-13","reasoning","True","True","220","1600","default","False","","2"
"reason-14","reasoning","True","False","280","1900","fast","False","short","7"
"reason-15","reasoning","True","True","170","1300","fast","False","short","7"
"chat-01","chat","True","True","90","1200","fast","False","short","7"
"chat-02","chat","True","True","100","1100","fast","False","short","7"
"chat-03","chat","False","False","80","1100","fast","False","short","7"
"chat-04","chat","True","True","110","1300","fast","False","short","7"
"chat-05","chat","True","False","130","1500","fast","False","short","7"
"chat-06","chat","True","False","70","1000","fast","False","short","7"
"chat-07","chat","True","False","100","1200","fast","False","short","7"
"chat-08","chat","True","False","90","1300","fast","False","short","7"
"chat-09","chat","False","False","110","1400","fast","False","short","7"
"chat-10","chat","False","False","90","1100","fast","False","short","7"
"tool-01","tool-use","True","False","250","1700","default","False","tool-call-pattern","2"
"tool-02","tool-use","True","True","200","1500","fast","False","short,tool-call-pattern","7"
"tool-03","tool-use","True","False","220","1600","fast","False","short,tool-call-pattern","7"
"tool-04","tool-use","True","True","180","1400","fast","False","short,tool-call-pattern","7"
"tool-05","tool-use","True","False","210","1550","fast","False","short,tool-call-pattern","7"
"tool-06","tool-use","True","True","240","1650","fast","False","short,tool-call-pattern","7"
"tool-07","tool-use","True","True","230","1600","fast","False","short,tool-call-pattern","7"
"tool-08","tool-use","True","False","100","1200","fast","False","short,tool-call-pattern","7"
"tool-09","tool-use","True","True","280","1800","fast","False","short,tool-call-pattern","7"
"tool-10","tool-use","True","True","100","1100","fast","False","short,tool-call-pattern","7"
